top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation,layers_quantized
73.286,26.714,91.232,8.768,4.65,224,0.875,bicubic,"['conv_stem', 'act1']"
73.17,26.83,91.29,8.71,4.65,224,0.875,bicubic,"['blocks.0.0.conv_dw', 'blocks.0.0.act1']"
75.478,24.522,92.518,7.482,4.65,224,0.875,bicubic,['blocks.0.0.conv_pw']
74.818,25.182,92.122,7.878,4.65,224,0.875,bicubic,"['blocks.1.0.conv_pw', 'blocks.1.0.act1']"
75.418,24.582,92.488,7.512,4.65,224,0.875,bicubic,"['blocks.1.0.conv_dw', 'blocks.1.0.act2']"
75.446,24.554,92.542,7.458,4.65,224,0.875,bicubic,['blocks.1.0.conv_pwl']
75.47,24.53,92.53,7.47,4.65,224,0.875,bicubic,"['blocks.1.1.conv_pw', 'blocks.1.1.act1']"
75.408,24.592,92.508,7.492,4.65,224,0.875,bicubic,"['blocks.1.1.conv_dw', 'blocks.1.1.act2']"
75.444,24.556,92.494,7.506,4.65,224,0.875,bicubic,['blocks.1.1.conv_pwl']
75.432,24.568,92.48,7.52,4.65,224,0.875,bicubic,"['blocks.2.0.conv_pw', 'blocks.2.0.act1']"
75.458,24.542,92.506,7.494,4.65,224,0.875,bicubic,"['blocks.2.0.conv_dw', 'blocks.2.0.act2']"
75.418,24.582,92.5,7.5,4.65,224,0.875,bicubic,['blocks.2.0.conv_pwl']
75.454,24.546,92.51,7.49,4.65,224,0.875,bicubic,"['blocks.2.1.conv_pw', 'blocks.2.1.act1']"
75.456,24.544,92.518,7.482,4.65,224,0.875,bicubic,"['blocks.2.1.conv_dw', 'blocks.2.1.act2']"
75.484,24.516,92.49,7.51,4.65,224,0.875,bicubic,['blocks.2.1.conv_pwl']
75.472,24.528,92.502,7.498,4.65,224,0.875,bicubic,"['blocks.3.0.conv_pw', 'blocks.3.0.act1']"
75.42,24.58,92.502,7.498,4.65,224,0.875,bicubic,"['blocks.3.0.conv_dw', 'blocks.3.0.act2']"
75.432,24.568,92.5,7.5,4.65,224,0.875,bicubic,['blocks.3.0.conv_pwl']
75.49,24.51,92.484,7.516,4.65,224,0.875,bicubic,"['blocks.3.1.conv_pw', 'blocks.3.1.act1']"
75.472,24.528,92.502,7.498,4.65,224,0.875,bicubic,"['blocks.3.1.conv_dw', 'blocks.3.1.act2']"
75.458,24.542,92.534,7.466,4.65,224,0.875,bicubic,['blocks.3.1.conv_pwl']
75.444,24.556,92.5,7.5,4.65,224,0.875,bicubic,"['blocks.3.2.conv_pw', 'blocks.3.2.act1']"
